"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Lab","Overall","Grade"
"223",67.5,67.5,95,77.5,100,87.5,70,90,85,7,33.3333333333333,0,25,45,68.8,62.1,86,69,84.0625,23.3333333333333,20,65.16875,"C-"
"224",73.5,80,100,100,90,89,94,90,0,12,66.6666666666667,77.7777777777778,75,85,63.2,60.75,79,67.5,80.375,79.2592592592593,100,78.6763888888889,"C+"
"225",92.5,100,100,30,100,100,100,85,75,12,91.6666666666667,27.7777777777778,0,100,63.6,44.1,79.5,49,86.25,42.5925925925926,100,70.4138888888889,"C"
"226",65,50,72.5,90,80,0,0,62.5,0,8,83.3333333333333,72.2222222222222,50,0,65.6,63.45,82,70.5,44.375,40.7407407407407,40,57.4486111111111,"D"
"227",92.5,100,100,90,100,99,99,87.5,100,12,58.3333333333333,88.8888888888889,80,55,48.8,53.1,61,59,96.9375,74.6296296296296,100,77.2256944444444,"C"
"228",88.5,92.5,95,60,85,0,0,100,0,11,58.3333333333333,0,40,35,56.8,49.95,71,55.5,54.0625,25,100,58.04375,"D"
"229",72.5,100,77.5,45,89,90,90,75,65,12,54.1666666666667,55.5555555555556,75,65,57.6,54,72,60,78.9375,65.1851851851852,100,72.8590277777778,"C"
"230",87.5,100,82.5,90,100,90,100,80,85,12,58.3333333333333,72.2222222222222,30,55,61.6,24.3,77,27,90.9375,52.4074074074074,100,67.2923611111111,"C-"
"231",77.5,77.5,95,100,99,92,80,87.5,85,11,33.3333333333333,44.4444444444444,65,60,61.6,44.1,77,49,89.5,56.4814814814815,100,72.9722222222222,"C"
"232",73.5,72.5,60,0,80,0,0,60,0,11,66.6666666666667,55.5555555555556,40,0,68,49.5,85,55,34.0625,31.8518518518519,100,55.7465277777778,"D"
"233",100,85,92.5,100,90,99,0,100,100,12,66.6666666666667,100,100,85,61.2,80.1,76.5,89,83.3125,95,100,86.79375,"B+"
"234",94,100,100,100,100,98,100,100,100,12,100,83.3333333333333,70,85,71.2,77.85,89,86.5,99.75,79.4444444444444,100,91.2666666666667,"A"
"235",97.5,100,97.5,100,100,86,100,90,100,12,91.6666666666667,100,65,90,62.4,80.1,78,89,96.6875,85,100,89.60625,"A-"
"236",94.5,97,96,100,80,100,97,100,100,12,75,83.3333333333333,50,100,64,68.85,80,76.5,96.25,77.7777777777778,100,85.6666666666667,"B"
"237",92.5,100,100,98,100,98,86,100,98,12,100,83.3333333333333,50,80,66.4,72,83,80,97.5,71.1111111111111,100,86.5166666666667,"B+"
"238",100,100,100,65,95,94,100,95,100,12,100,55.5555555555556,80,90,70.4,80.1,88,89,93.625,75.1851851851852,100,89.2152777777778,"A-"
"239",100,85,100,100,100,99,97,80,95,12,100,100,95,100,80,84.6,100,94,94.5,98.3333333333333,100,96.6,"A+"
"240",92.5,100,97.5,80,95,100,90,100,70,12,100,100,85,100,79.2,88.2,99,98,91.5625,95,100,96.01875,"A+"
"241",95,85,100,70,0,99,95,95,100,12,91.6666666666667,72.2222222222222,50,90,77.6,86.4,97,96,80.5,70.7407407407407,100,88.1611111111111,"A-"
"242",92.5,100,95,100,100,90,100,85,97.5,12,25,33.3333333333333,20,65,31.2,20.7,39,23,95.9375,39.4444444444444,100,58.2479166666667,"D"
"243",92.5,100,97.5,100,100,99,92,100,85,12,91.6666666666667,88.8888888888889,95,95,63.2,68.85,79,76.5,96.6875,92.962962962963,100,87.8756944444444,"B+"
"244",87.5,87.5,100,60,95,72,70,80,0,12,83.3333333333333,61.1111111111111,60,0,62.4,62.1,78,69,70.5625,40.3703703703704,100,70.0743055555556,"C"
"245",80,0,77.5,20,0,37,67,50,85,10,33.3333333333333,16.6666666666667,30,40,50.4,58.5,63,65,42.0625,28.8888888888889,80,53.8020833333333,"D"
"246",82.5,95,90,77.5,100,95,84,85,100,12,83.3333333333333,88.8888888888889,80,75,46.4,61.2,58,68,90.8125,81.2962962962963,100,78.0381944444444,"C+"
"247",82.5,97.5,75,50,42.5,86,61,85,100,12,58.3333333333333,61.1111111111111,35,80,55.2,49.95,69,55.5,74.625,58.7037037037037,100,68.8680555555556,"C-"
"248",96,99,91.5,70,93,86,65,75,90,12,66.6666666666667,38.8888888888889,30,70,41.6,35.1,52,39,83.6875,46.2962962962963,100,62.2006944444444,"C-"
"249",75,85,100,100,100,99,90,90,80,11,91.6666666666667,83.3333333333333,95,95,70.4,82.8,88,92,93,91.1111111111111,100,92.1666666666667,"A"
"250",92.5,100,100,90,100,99,100,95,100,12,91.6666666666667,77.7777777777778,75,65,66.4,70.2,83,78,98,72.5925925925926,100,86.3888888888889,"B+"
"251",94.5,84,95,95,100,98,86,100,0,12,66.6666666666667,72.2222222222222,80,70,40.8,58.95,51,65.5,82.25,74.0740740740741,100,72.3611111111111,"C"
"252",72.5,77.5,0,75,85,0,0,0,65,10,0,27.7777777777778,35,35,19.2,18.45,24,20.5,37.8125,32.5925925925926,80,34.1576388888889,"F"
"253",100,79,85,95,85,91,79,75,92,12,91.6666666666667,44.4444444444444,90,90,64,63.9,80,71,85.125,74.8148148148148,100,80.5097222222222,"B-"
"254",92.5,100,100,90,98,99,97,100,95,12,66.6666666666667,66.6666666666667,55,75,25.6,54.9,32,61,97.375,65.5555555555556,100,70.6958333333333,"C"
"255",100,100,90,100,100,94,100,100,0,11,100,77.7777777777778,75,0,72,72.9,90,81,85.5,50.9259259259259,100,81.5388888888889,"B-"
"256",93,73,100,88,100,96,80,95,95,10,100,50,65,60,76,65.25,95,72.5,90.875,58.3333333333333,80,81.1375,"B-"
"257",100,85,97.5,100,95,0,89,90,90,11,79.1666666666667,94.4444444444444,50,85,49.6,66.6,62,74,80.8125,76.4814814814815,100,76.6159722222222,"C"
"258",92.5,100,100,70,100,100,100,100,85,12,75,88.8888888888889,95,0,67.2,72.45,84,80.5,94.375,61.2962962962963,100,84.4319444444444,"B"
"259",92.5,92.5,90,90,100,90,100,90,85,12,83.3333333333333,72.2222222222222,85,100,63.2,86.4,79,96,92.1875,85.7407407407407,100,90.3173611111111,"A"
"260",68,55.5,85,0,65,50,52,0,20,10,50,50,30,35,43.2,28.8,54,32,40.9375,38.3333333333333,80,44.83125,"F"
"261",92.5,92.5,100,90,100,100,100,0,80,12,95.8333333333333,100,0,100,70.4,78.3,88,87,82.8125,66.6666666666667,100,84.19375,"B"
"262",57.5,100,100,0,80,93,76,75,95,12,75,72.2222222222222,70,90,79.2,66.6,99,74,77.375,77.4074074074074,100,83.1236111111111,"B"
"263",89.5,57,95,90,0,98,0,75,100,9,75,77.7777777777778,45,55,37.6,71.1,47,79,64.375,59.2592592592593,60,63.3513888888889,"C-"
"264",89.5,79,97.5,100,90,99,100,100,99,12,100,88.8888888888889,75,90,68.8,85.95,86,95.5,95.5625,84.6296296296296,100,92.4381944444444,"A"
"265",75,100,92.5,100,100,99,100,90,100,12,83.3333333333333,88.8888888888889,95,100,77.6,77.4,97,86,97.6875,94.6296296296296,100,94.4006944444444,"A"
"266",87.5,92.5,90,80,90,80,89,90,55,12,75,77.7777777777778,80,100,52,71.1,65,79,83.3125,85.9259259259259,100,80.6326388888889,"B-"
"267",57.5,70,82.5,0,55,0,51,45,0,11,83.3333333333333,38.8888888888889,57.5,0,40,55.8,50,62,37.9375,32.1296296296296,100,51.7006944444444,"D"
"268",52.5,77.5,97.5,50,95,80,79,90,50,12,66.6666666666667,38.8888888888889,65,90,46.4,52.65,58,58.5,77.375,64.6296296296296,100,69.1319444444444,"C-"
"269",82.5,0,92.5,80,93,98,85,100,85,12,83.3333333333333,77.7777777777778,55,90,68.8,75.15,86,83.5,79.1875,74.2592592592593,100,82.9701388888889,"B"
"270",62.5,70,87.5,60,100,80,84,95,80,12,41.6666666666667,88.8888888888889,65,75,42.4,63.9,53,71,82.0625,76.2962962962963,100,74.4131944444444,"C"
"271",65,55,87.5,90,90,72,77,0,80,12,83.3333333333333,72.2222222222222,57.5,80,68,75.6,85,84,68.9375,69.9074074074074,100,79.1673611111111,"C+"
"272",85,90,90,20,95,85,97,75,80,12,58.3333333333333,27.7777777777778,50,30,59.52,57.6,74.4,64,79,35.9259259259259,100,69.9688888888889,"C-"
"273",100,100,100,100,100,75,100,95,65,12,95.8333333333333,72.2222222222222,45,85,50.4,68.4,63,76,91.875,67.4074074074074,100,79.2736111111111,"C+"
"274",87.5,100,92.5,100,100,100,90,100,100,12,83.3333333333333,88.8888888888889,75,85,69.6,81,87,90,97.8125,82.962962962963,100,91.6881944444444,"A"
"275",92.5,70,85,80,100,97,79,100,85,12,83.3333333333333,100,95,100,76.8,68.4,96,76,87,98.3333333333333,100,89.05,"A-"
"276",62.5,80,75,100,95,95,100,85,100,12,75,100,80,75,56.8,53.55,71,59.5,91.25,85,100,79.2,"C+"
"277",87,100,100,100,99,99,100,100,96,11,50,66.6666666666667,70,90,64,78.75,80,87.5,99.25,75.5555555555556,100,88.9833333333333,"A-"
"278",60,75,100,0,100,94,100,90,100,10,50,33.3333333333333,25,40,69.6,44.55,87,49.5,82.375,32.7777777777778,80,67.4041666666667,"C-"
"279",79,96.5,92.5,100,100,98,87,100,82,12,100,77.7777777777778,75,100,66.4,70.65,83,78.5,94.5,84.2592592592593,100,87.2138888888889,"B+"
"280",87.5,97.5,95,90,90,88,100,60,100,12,66.6666666666667,83.3333333333333,67.5,0,68.8,70.2,86,78,90.0625,50.2777777777778,100,81.2604166666667,"B-"
"281",60,82.5,92.5,80,0,73,85.5,100,85,11,75,50,57.5,65,76.8,74.7,96,83,74.8125,57.5,100,81.01875,"B-"
"282",90,100,100,100,95,99,100,95,100,12,100,100,80,90,64.8,72.9,81,81,98.625,90,100,89.5375,"A-"
"283",92.5,100,100,100,100,99,100,100,95,12,83.3333333333333,66.6666666666667,70,95,71.2,76.5,89,85,99.25,77.2222222222222,100,90.4083333333333,"A"
"284",87.5,100,65,70,0,76,80,100,98,9,50,33.3333333333333,55,95,53.6,70.2,67,78,73.625,61.1111111111111,60,70.1541666666667,"C"
"285",0,85,100,100,100,99,100,97.5,100,12,66.6666666666667,77.7777777777778,70,75,60,81,75,90,97.6875,74.2592592592593,100,87.9451388888889,"B+"
"286",70,70,55,65,72.5,58,47,60,80,12,91.6666666666667,55.5555555555556,75,100,65.6,58.05,82,64.5,63.4375,76.8518518518518,100,73.0840277777778,"C"
"287",82.5,77.5,100,90,95,93,84,100,85,12,100,77.7777777777778,85,45,59.2,70.2,74,78,90.5625,69.2592592592593,100,81.8576388888889,"B-"
"288",100,85,100,100,100,87,97,90,100,12,66.6666666666667,100,85,90,64,66.15,80,73.5,94.875,91.6666666666667,100,86.5875,"B+"
"289",82.5,100,92.5,80,100,99,100,80,100,12,100,100,90,100,71.2,89.1,89,99,93.9375,96.6666666666667,100,95.23125,"A+"
"290",0,80,100,95,78,90,77,75,97,11,83.3333333333333,66.6666666666667,55,85,58.4,59.85,73,66.5,86.5,68.8888888888889,100,77.5083333333333,"C+"
"291",77.5,0,92.5,90,85,66,48,70,85,12,50,50,25,30,28,40.05,35,44.5,67.0625,35,100,53.49375,"D"
"292",92.5,72.5,72.5,30,0,83,100,0,85,12,58.3333333333333,44.4444444444444,35,15,20.8,18.45,26,20.5,55.375,31.4814814814815,100,41.6597222222222,"F"
"293",92.5,100,100,100,100,99,97,100,85,12,91.6666666666667,100,95,100,71.2,79.65,89,88.5,97.625,98.3333333333333,100,93.9625,"A"
"294",73.5,85,95,90,99,88,97,90,100,12,50,77.7777777777778,45,70,75.2,64.8,94,72,93,64.2592592592593,100,84.3388888888889,"B"
"295",92.5,100,100,100,100,100,92,0,95,12,91.6666666666667,94.4444444444444,75,100,78.4,80.1,98,89,85.875,89.8148148148148,100,91.0847222222222,"A"
"296",92.5,92.5,97.5,80,97,100,89,90,60,11,87.5,66.6666666666667,30,70,51.2,44.1,64,49,88.25,55.5555555555556,100,69.8583333333333,"C-"
"297",52.5,47.5,97.5,75,65,81,79,90,65,10,75,44.4444444444444,40,75,39.2,60.3,49,67,75,53.1481481481482,80,65.0222222222222,"C-"
"298",77.5,92.5,77.5,90,93,90,90,55,65,11,66.6666666666667,44.4444444444444,30,50,64,49.05,80,54.5,81.625,41.4814814814815,100,70.3347222222222,"C"
"299",72.5,65,90,70,75,84,65,80,85,11,83.3333333333333,61.1111111111111,80,95,64,71.1,80,79,76.75,78.7037037037037,100,80.5805555555555,"B-"
"300",78.5,0,72.5,90,95,87,97,100,100,11,50,77.7777777777778,85,65,56,60.75,70,67.5,80.1875,75.9259259259259,100,76.3201388888889,"C"
"301",80,100,95,70,87.5,90,96,100,85,12,91.6666666666667,61.1111111111111,55,95,61.6,80.55,77,89.5,90.4375,70.3703703703704,100,85.4618055555555,"B"
"302",62.5,0,77.5,90,100,98,100,90,100,12,100,94.4444444444444,35,90,76,74.25,95,82.5,81.9375,73.1481481481482,100,85.1784722222222,"B"
"303",94,100,100,90,100,99,100,95,95,12,91.6666666666667,77.7777777777778,80,90,56.8,65.25,71,72.5,97.375,82.5925925925926,100,83.9263888888889,"B"
"304",66,85,90,90,100,0,65,95,100,12,83.3333333333333,22.2222222222222,75,65,42.4,36.9,53,41,78.125,54.0740740740741,100,62.3986111111111,"C-"
"305",77.5,85,85,60,100,100,86,100,80,12,75,83.3333333333333,75,65,44,60.3,55,67,87,74.4444444444444,100,75.0166666666667,"C"
"306",87.5,77.5,100,95,95,100,0,75,75,12,95.8333333333333,88.8888888888889,75,100,67.2,72.9,84,81,77.1875,87.962962962963,100,83.4006944444444,"B"
"307",99.5,100,100,90,72.5,100,97,100,98,12,91.6666666666667,100,75,90,56,70.2,70,78,94.6875,88.3333333333333,100,85.15625,"B"
"308",82.5,100,95,80,95,96,100,80,85,12,100,77.7777777777778,85,90,72,76.5,90,85,91.375,84.2592592592593,100,89.3013888888889,"A-"
"309",85,95,85,100,100,98,88,90,85,12,100,50,65,95,64.8,67.5,81,75,92.625,70,100,83.2375,"B"
"310",52.5,92.5,97.5,0,91.25,0,0,0,0,10,58.3333333333333,0,0,0,43.2,20.7,54,23,35.15625,0,80,35.096875,"F"
"311",87.5,77.5,100,60,100,89,83,80,80,12,83.3333333333333,77.7777777777778,65,80,59.2,71.55,74,79.5,83.6875,74.2592592592593,100,80.9201388888889,"B-"
"312",92.5,100,95,100,100,99,100,85,98,12,100,88.8888888888889,75,95,80,84.15,100,93.5,97.125,86.2962962962963,100,95.4569444444444,"A+"
"313",47.5,72.5,92.5,95,100,88.5,80,82.5,100,12,75,61.1111111111111,45,100,47.2,62.1,59,69,88.875,68.7037037037037,100,76.0180555555555,"C"
"314",98,94,77.5,90,95,97,100,90,99,12,91.6666666666667,72.2222222222222,55,75,60.8,48.6,76,54,92.8125,67.4074074074074,100,76.6548611111111,"C"
"315",80.5,85,100,90,95,96,86,60,100,12,66.6666666666667,77.7777777777778,75,95,76.8,66.15,96,73.5,89,82.5925925925926,100,86.6638888888889,"B+"
"316",60,0,90,0,0,91,0,47.5,66,11,75,72.2222222222222,30,100,62.4,53.55,78,59.5,36.8125,67.4074074074074,100,61.6298611111111,"C-"
"317",0,50,42.5,80,100,83,71,75,50,12,66.6666666666667,61.1111111111111,55,35,14.4,39.6,18,44,68.9375,50.3703703703704,100,52.8368055555556,"D"
"318",92.5,85,100,70,90,96,100,100,100,11,75,66.6666666666667,45,95,67.2,64.8,84,72,92.625,68.8888888888889,100,82.9208333333333,"B"
"319",92.5,100,100,100,100,0,90,100,100,11,91.6666666666667,61.1111111111111,65,80,78.4,75.6,98,84,86.25,68.7037037037037,100,86.7805555555556,"B+"
"320",87.5,100,97.5,100,90,80,100,80,94,12,75,72.2222222222222,60,75,54.4,53.1,68,59,92.6875,69.0740740740741,100,76.5173611111111,"C"
"321",65,100,90,90,100,99,86,72.5,75,12,100,88.8888888888889,80,95,71.2,72.9,89,81,89.0625,87.962962962963,100,87.9631944444444,"B+"
"322",92.5,100,100,100,95,100,86,100,80,12,95.8333333333333,72.2222222222222,60,100,62.4,74.25,78,82.5,95.125,77.4074074074074,100,86.3736111111111,"B+"
"323",82.5,100,95,100,0,100,92,100,100,12,58.3333333333333,100,65,80,68.8,63.9,86,71,85.875,81.6666666666667,100,82.9625,"B"
"324",0,75,67.5,90,80,71,0,50,0,8,83.3333333333333,61.1111111111111,25,35,64,44.55,80,49.5,54.1875,40.3703703703704,40,54.6868055555556,"D"
"325",82.5,87.5,85,35,60,95,87,100,85,11,58.3333333333333,94.4444444444444,95,100,71.2,81,89,90,79.3125,96.4814814814815,100,88.5659722222222,"A-"
"326",82.5,100,85,90,95,85,90,100,82.5,12,100,55.5555555555556,65,75,46.4,71.1,58,79,90.9375,65.1851851851852,100,78.4090277777778,"C+"
"327",72.5,100,100,100,100,80,76,85,98,12,91.6666666666667,72.2222222222222,70,100,74.4,80.1,93,89,92.375,80.7407407407407,100,90.6736111111111,"A"
"328",72.5,70,100,90,100,95,97,100,85,12,100,88.8888888888889,75,80,72,75.15,90,83.5,92.125,81.2962962962963,100,88.7069444444444,"A-"
"329",0,0,0,10,0,0,53.5,70,32,9,33.3333333333333,0,55,45,32.8,56.7,41,63,20.6875,33.3333333333333,60,41.15625,"F"
"330",88.5,99,0,0,85,0,0,85,85,12,75,50,80,70,57.6,50.85,72,56.5,44.25,66.6666666666667,100,61.8,"C-"
"331",95,95,100,100,95,99,100,100,100,12,91.6666666666667,88.8888888888889,65,100,65.6,81,82,90,98.625,84.6296296296296,100,91.1819444444444,"A"
"332",72.5,92.5,100,90,95,89,83,95,100,12,91.6666666666667,22.2222222222222,60,75,60.8,57.15,76,63.5,93.0625,52.4074074074074,100,76.8548611111111,"C"
"333",100,85,100,100,100,99,97,85,95,12,100,100,100,100,80,89.1,100,99,95.125,100,100,98.2875,"A+"
"334",92.5,75,100,100,96.25,96,100,90,100,12,75,88.8888888888889,70,90,61.6,74.7,77,83,94.65625,82.962962962963,100,86.9913194444444,"B+"
